delta_theta_deg,hip_deg,knee_deg,wheel_tau,com_x,height
32.0,8.758176621775446,13.75037662177544,1.1102230246251565e-16,0.0,0.5278185268774467
33.0,7.5607074621951895,11.552907462195188,1.3877787807814457e-16,0.0,0.5289855508884931
34.0,6.364206192770641,9.356406192770624,1.6653345369377348e-16,0.0,0.5299548936976899
35.0,5.168508655860257,7.160708655860258,1.942890293094024e-16,0.0,0.5307265283373368
36.0,3.9734537062325077,4.96565370623251,-2.7755575615628914e-17,0.0,0.531300438141671
37.0,2.7788825975534936,2.7710825975534874,-1.3877787807814457e-17,0.0,0.5316766179610077
38.0,1.5846383899038539,0.5768383899038433,4.163336342344337e-17,0.0,0.5318550750995493
39.0,0.390565373021716,-1.6172346269782902,1.3877787807814457e-16,0.0,0.5318358299876496
40.0,-0.8034914997773083,-3.8112914997773055,-1.942890293094024e-16,0.0,0.5316189165962539
41.0,-1.997687171880323,-6.005487171880327,1.3322676295501878e-15,0.0,0.5312043825983173
42.0,-3.1921770426411604,-8.199977042641157,8.951173136040325e-16,0.0,0.530592289279199
43.0,-4.387117530395829,-10.394917530395846,3.8163916471489756e-16,0.0,0.5297827111952569
44.0,-5.582666644054125,-12.590466644054123,-2.5396351688300456e-15,0.0,0.5287757355770825
45.0,-6.778984568229754,-14.786784568229747,-1.3704315460216776e-15,0.0,0.5275714614709569
46.0,-7.976234267086176,-16.984034267086184,9.645062526431047e-16,0.0,0.5261699986091228
47.0,-9.174582112379596,-19.182382112379607,-2.6883877068950568e-15,0.0,0.5245714659962739
48.00000000000001,-10.374198541576918,-21.38199854157693,5.48172618408671e-16,0.0,0.5227759901962195
49.0,-11.575258752429258,-23.583058752429256,4.593547764386585e-15,0.0,0.5207837032988805
50.0,-12.777943441002892,-25.7857434410029,-2.1371793224034263e-15,0.0,0.5185947405435452
51.0,-13.982439590926555,-27.990239590926556,-4.315992008230296e-15,0.0,0.5162092375695386
52.0,-15.188941322531372,-30.196741322531373,-1.582067810090848e-15,0.0,0.5136273272600292
53.0,-16.39765081165944,-32.40545081165944,-5.134781488891349e-16,0.0,0.5108491361384404
54.0,-17.60877928924064,-34.61657928924064,1.6514567491299204e-15,0.0,0.5078747802697017
